garment_name,matching_combination_name,panel_count,stitch_count,panel_name_contains_digit,contains_clockwise_panel,mesh_len_segmentation_match,mesh_filter_failed,none_vertex_count,stitch_vertex_count,none_filtered_vertex_count,stitch_filtered_vertex_count
dress_sleeveless_005CWF73E9,dress_sleeveless_005CWF73E9,4,10,False,False,True,False,222,218,0,0
dress_sleeveless_00F3PNYG6L,dress_sleeveless_00F3PNYG6L,4,10,False,False,True,False,230,226,0,0
dress_sleeveless_00M2CX1YWW,dress_sleeveless_00M2CX1YWW,4,10,False,False,True,False,242,238,0,0
dress_sleeveless_013LZJLUQ0,dress_sleeveless_013LZJLUQ0,4,10,False,False,True,False,242,238,0,0
dress_sleeveless_014TV5GC0X,dress_sleeveless_014TV5GC0X,4,10,False,False,True,False,238,234,0,0
dress_sleeveless_01SGV2152F,dress_sleeveless_01SGV2152F,4,10,False,False,True,False,246,242,0,0
dress_sleeveless_02OIQPCOWU,dress_sleeveless_02OIQPCOWU,4,10,False,False,True,False,238,234,0,0
dress_sleeveless_02XDGBX5VN,dress_sleeveless_02XDGBX5VN,4,10,False,False,True,False,272,268,0,0
dress_sleeveless_03H2RT1URT,dress_sleeveless_03H2RT1URT,4,10,False,False,True,False,266,262,0,0
dress_sleeveless_048BBSET3Z,dress_sleeveless_048BBSET3Z,4,10,False,False,True,False,278,274,0,0
dress_sleeveless_04HEL5MHFC,dress_sleeveless_04HEL5MHFC,4,10,False,False,True,False,220,216,0,0
dress_sleeveless_057TT9AFKD,dress_sleeveless_057TT9AFKD,4,10,False,False,True,False,226,222,0,0
dress_sleeveless_065MFJF7UN,dress_sleeveless_065MFJF7UN,4,10,False,False,True,False,272,268,0,0
dress_sleeveless_066F4HY58Z,dress_sleeveless_066F4HY58Z,4,10,False,False,True,False,242,238,0,0
dress_sleeveless_06DPIS1ETJ,dress_sleeveless_06DPIS1ETJ,4,10,False,False,True,False,252,248,0,0
dress_sleeveless_06IFZK7D8J,dress_sleeveless_06IFZK7D8J,4,10,False,False,True,False,236,232,0,0
dress_sleeveless_06PU5NEEXR,dress_sleeveless_06PU5NEEXR,4,10,False,False,True,False,194,190,0,0
dress_sleeveless_08TX6G6U1E,dress_sleeveless_08TX6G6U1E,4,10,False,False,True,False,236,232,0,0
dress_sleeveless_09A7N18MIK,dress_sleeveless_09A7N18MIK,4,10,False,False,True,False,256,252,0,0
dress_sleeveless_09IED9KWBX,dress_sleeveless_09IED9KWBX,4,10,False,False,True,False,236,232,0,0
dress_sleeveless_09OPJBWSO8,dress_sleeveless_09OPJBWSO8,4,10,False,False,True,False,244,240,0,0
dress_sleeveless_09TBE1ATRH,dress_sleeveless_09TBE1ATRH,4,10,False,False,True,False,232,228,0,0
dress_sleeveless_09VT9DTNA7,dress_sleeveless_09VT9DTNA7,4,10,False,False,True,False,254,250,0,0
dress_sleeveless_0A4DCTEO99,dress_sleeveless_0A4DCTEO99,4,10,False,False,True,False,248,244,0,0
dress_sleeveless_0BCZGCKJI9,dress_sleeveless_0BCZGCKJI9,4,10,False,False,True,False,212,208,0,0
dress_sleeveless_0C4VMNOCLU,dress_sleeveless_0C4VMNOCLU,4,10,False,False,True,False,274,270,0,0
dress_sleeveless_0CT386L6S1,dress_sleeveless_0CT386L6S1,4,10,False,False,True,False,210,206,0,0
dress_sleeveless_0CYFZVBPBS,dress_sleeveless_0CYFZVBPBS,4,10,False,False,True,False,250,246,0,0
dress_sleeveless_0D9SBFFT4O,dress_sleeveless_0D9SBFFT4O,4,10,False,False,True,False,244,240,0,0
dress_sleeveless_0D9YYCD3N1,dress_sleeveless_0D9YYCD3N1,4,10,False,False,True,False,258,254,0,0
dress_sleeveless_0DAY6M9ZYC,dress_sleeveless_0DAY6M9ZYC,4,10,False,False,True,False,242,238,0,0
dress_sleeveless_0DO6UWS4RN,dress_sleeveless_0DO6UWS4RN,4,10,False,False,True,False,240,236,0,0
dress_sleeveless_0E8DOZ7H5O,dress_sleeveless_0E8DOZ7H5O,4,10,False,False,True,False,280,276,0,0
dress_sleeveless_0EIY2ITTLW,dress_sleeveless_0EIY2ITTLW,4,10,False,False,True,False,238,234,0,0
dress_sleeveless_0EK0MX63I4,dress_sleeveless_0EK0MX63I4,4,10,False,False,True,False,278,274,0,0
dress_sleeveless_0EKIKBI6VK,dress_sleeveless_0EKIKBI6VK,4,10,False,False,True,False,222,218,0,0
dress_sleeveless_0FHEENVD1O,dress_sleeveless_0FHEENVD1O,4,10,False,False,True,False,214,210,0,0
dress_sleeveless_0FKBMICSUV,dress_sleeveless_0FKBMICSUV,4,10,False,False,True,False,212,208,0,0
dress_sleeveless_0GAY7AE6DQ,dress_sleeveless_0GAY7AE6DQ,4,10,False,False,True,False,278,274,0,0
dress_sleeveless_0GLSIGAGR0,dress_sleeveless_0GLSIGAGR0,4,10,False,False,True,False,222,218,0,0
dress_sleeveless_0GVEXWS5M4,dress_sleeveless_0GVEXWS5M4,4,10,False,False,True,False,228,224,0,0
dress_sleeveless_0I9DSISCUH,dress_sleeveless_0I9DSISCUH,4,10,False,False,True,False,208,204,0,0
dress_sleeveless_0I9E92ZZQG,dress_sleeveless_0I9E92ZZQG,4,10,False,False,True,False,212,208,0,0
dress_sleeveless_0IHJZ81F9V,dress_sleeveless_0IHJZ81F9V,4,10,False,False,True,False,208,204,0,0
dress_sleeveless_0J3LBB28F4,dress_sleeveless_0J3LBB28F4,4,10,False,False,True,False,212,208,0,0
dress_sleeveless_0JROOFQRLT,dress_sleeveless_0JROOFQRLT,4,10,False,False,True,False,272,268,0,0
dress_sleeveless_0JY90SRYI9,dress_sleeveless_0JY90SRYI9,4,10,False,False,True,False,252,248,0,0
dress_sleeveless_0L05KY3TRG,dress_sleeveless_0L05KY3TRG,4,10,False,False,True,False,240,236,0,0
dress_sleeveless_0L7GMTT237,dress_sleeveless_0L7GMTT237,4,10,False,False,True,False,206,202,0,0
dress_sleeveless_0LR6HTNPRP,dress_sleeveless_0LR6HTNPRP,4,10,False,False,True,False,232,228,0,0
dress_sleeveless_0M8ALJ3XDQ,dress_sleeveless_0M8ALJ3XDQ,4,10,False,False,True,False,226,222,0,0
dress_sleeveless_0MGU5XZLM1,dress_sleeveless_0MGU5XZLM1,4,10,False,False,True,False,248,244,0,0
dress_sleeveless_0MPA4SE7F7,dress_sleeveless_0MPA4SE7F7,4,10,False,False,True,False,204,200,0,0
dress_sleeveless_0NJ1LJJ5SG,dress_sleeveless_0NJ1LJJ5SG,4,10,False,False,True,False,274,270,0,0
dress_sleeveless_0NQV4UR4G0,dress_sleeveless_0NQV4UR4G0,4,10,False,False,True,False,204,200,0,0
dress_sleeveless_0NTFLNPV3L,dress_sleeveless_0NTFLNPV3L,4,10,False,False,True,False,284,280,0,0
dress_sleeveless_0NWPVZL528,dress_sleeveless_0NWPVZL528,4,10,False,False,True,False,252,248,0,0
dress_sleeveless_0PN1X7AD8X,dress_sleeveless_0PN1X7AD8X,4,10,False,False,True,False,232,228,0,0
dress_sleeveless_0PS5LHUD58,dress_sleeveless_0PS5LHUD58,4,10,False,False,True,False,228,224,0,0
dress_sleeveless_0PW8HGG42W,dress_sleeveless_0PW8HGG42W,4,10,False,False,True,False,198,194,0,0
dress_sleeveless_0Q1DE8QWET,dress_sleeveless_0Q1DE8QWET,4,10,False,False,True,False,238,234,0,0
