garment_name,matching_combination_name,panel_count,stitch_count,panel_name_contains_digit,contains_clockwise_panel,mesh_len_segmentation_match,mesh_filter_failed,none_vertex_count,stitch_vertex_count,none_filtered_vertex_count,stitch_filtered_vertex_count
dress_sleeveless_02OIQPCOWU,dress_sleeveless_02OIQPCOWU,4,10,False,False,True,False,238,234,0,0
dress_sleeveless_09OPJBWSO8,dress_sleeveless_09OPJBWSO8,4,10,False,False,True,False,244,240,0,0
dress_sleeveless_09TBE1ATRH,dress_sleeveless_09TBE1ATRH,4,10,False,False,True,False,232,228,0,0
dress_sleeveless_0C4VMNOCLU,dress_sleeveless_0C4VMNOCLU,4,10,False,False,True,False,274,270,0,0
dress_sleeveless_0DAY6M9ZYC,dress_sleeveless_0DAY6M9ZYC,4,10,False,False,True,False,242,238,0,0
dress_sleeveless_0EIY2ITTLW,dress_sleeveless_0EIY2ITTLW,4,10,False,False,True,False,238,234,0,0
dress_sleeveless_0GLSIGAGR0,dress_sleeveless_0GLSIGAGR0,4,10,False,False,True,False,222,218,0,0
dress_sleeveless_0I9DSISCUH,dress_sleeveless_0I9DSISCUH,4,10,False,False,True,False,208,204,0,0
dress_sleeveless_0JY90SRYI9,dress_sleeveless_0JY90SRYI9,4,10,False,False,True,False,252,248,0,0
dress_sleeveless_0MGU5XZLM1,dress_sleeveless_0MGU5XZLM1,4,10,False,False,True,False,248,244,0,0
dress_sleeveless_0NWPVZL528,dress_sleeveless_0NWPVZL528,4,10,False,False,True,False,252,248,0,0
dress_sleeveless_0RHXDY49DY,dress_sleeveless_0RHXDY49DY,4,10,False,False,True,False,232,228,0,0
dress_sleeveless_0TJSVCRGVZ,dress_sleeveless_0TJSVCRGVZ,4,10,False,False,True,False,264,260,0,0
dress_sleeveless_0WHEA0V7BE,dress_sleeveless_0WHEA0V7BE,4,10,False,False,True,False,220,216,0,0
dress_sleeveless_0XN15Y8OPP,dress_sleeveless_0XN15Y8OPP,4,10,False,False,True,False,222,218,0,0
dress_sleeveless_0YMU1AKQXL,dress_sleeveless_0YMU1AKQXL,4,10,False,False,True,False,260,256,0,0
dress_sleeveless_10K2MD2TQH,dress_sleeveless_10K2MD2TQH,4,10,False,False,True,False,252,248,0,0
dress_sleeveless_1FKKE4TLD7,dress_sleeveless_1FKKE4TLD7,4,10,False,False,True,False,250,246,0,0
dress_sleeveless_1HPATE521M,dress_sleeveless_1HPATE521M,4,10,False,False,True,False,268,264,0,0
dress_sleeveless_1IMLQHW73U,dress_sleeveless_1IMLQHW73U,4,10,False,False,True,False,266,262,0,0
dress_sleeveless_1MVG2X8SAC,dress_sleeveless_1MVG2X8SAC,4,10,False,False,True,False,240,236,0,0
dress_sleeveless_1RVSY5GSLS,dress_sleeveless_1RVSY5GSLS,4,10,False,False,True,False,242,238,0,0
dress_sleeveless_28O6MTTS0O,dress_sleeveless_28O6MTTS0O,4,10,False,False,True,False,284,280,0,0
dress_sleeveless_28ZO9F8HTN,dress_sleeveless_28ZO9F8HTN,4,10,False,False,True,False,198,194,0,0
dress_sleeveless_2DK7IEK44K,dress_sleeveless_2DK7IEK44K,4,10,False,False,True,False,274,270,0,0
dress_sleeveless_2I070Y8GZM,dress_sleeveless_2I070Y8GZM,4,10,False,False,True,False,236,232,0,0
dress_sleeveless_2JE5VX0T5B,dress_sleeveless_2JE5VX0T5B,4,10,False,False,True,False,224,220,0,0
dress_sleeveless_2KNQ2DATAF,dress_sleeveless_2KNQ2DATAF,4,10,False,False,True,False,264,260,0,0
dress_sleeveless_2NJND09HLM,dress_sleeveless_2NJND09HLM,4,10,False,False,True,False,224,220,0,0
dress_sleeveless_2THIEP13BD,dress_sleeveless_2THIEP13BD,4,10,False,False,True,False,272,268,0,0
dress_sleeveless_2VALRAE1CN,dress_sleeveless_2VALRAE1CN,4,10,False,False,True,False,244,240,0,0
dress_sleeveless_2YSQ1II6B4,dress_sleeveless_2YSQ1II6B4,4,10,False,False,True,False,254,250,0,0
dress_sleeveless_38D6388M4Y,dress_sleeveless_38D6388M4Y,4,10,False,False,True,False,238,234,0,0
dress_sleeveless_38XJA3I4HK,dress_sleeveless_38XJA3I4HK,4,10,False,False,True,False,262,258,0,0
dress_sleeveless_3E3IWACWAU,dress_sleeveless_3E3IWACWAU,4,10,False,False,True,False,250,246,0,0
dress_sleeveless_3G5365LLX5,dress_sleeveless_3G5365LLX5,4,10,False,False,True,False,270,266,0,0
dress_sleeveless_3P1M5L8WS2,dress_sleeveless_3P1M5L8WS2,4,10,False,False,True,False,218,214,0,0
dress_sleeveless_3S5ER22KI6,dress_sleeveless_3S5ER22KI6,4,10,False,False,True,False,240,236,0,0
dress_sleeveless_3XSKK1VMNU,dress_sleeveless_3XSKK1VMNU,4,10,False,False,True,False,196,192,0,0
dress_sleeveless_41PABW3XFH,dress_sleeveless_41PABW3XFH,4,10,False,False,True,False,182,178,0,0
dress_sleeveless_440K2CZ9P2,dress_sleeveless_440K2CZ9P2,4,10,False,False,True,False,210,206,0,0
dress_sleeveless_44F5TK0DWN,dress_sleeveless_44F5TK0DWN,4,10,False,False,True,False,252,248,0,0
dress_sleeveless_45V6ZGELXG,dress_sleeveless_45V6ZGELXG,4,10,False,False,True,False,236,232,0,0
dress_sleeveless_47RKZ8VE7U,dress_sleeveless_47RKZ8VE7U,4,10,False,False,True,False,268,264,0,0
dress_sleeveless_47UL22YO9T,dress_sleeveless_47UL22YO9T,4,10,False,False,True,False,272,268,0,0
dress_sleeveless_4BSDEBP7LK,dress_sleeveless_4BSDEBP7LK,4,10,False,False,True,False,228,224,0,0
dress_sleeveless_4CDDETLBVP,dress_sleeveless_4CDDETLBVP,4,10,False,False,True,False,292,288,0,0
dress_sleeveless_4D6UOUWIHG,dress_sleeveless_4D6UOUWIHG,4,10,False,False,True,False,234,230,0,0
dress_sleeveless_4F65J8K7UW,dress_sleeveless_4F65J8K7UW,4,10,False,False,True,False,208,204,0,0
dress_sleeveless_4JILJHEVIR,dress_sleeveless_4JILJHEVIR,4,10,False,False,True,False,260,256,0,0
dress_sleeveless_4OMXV6QUI0,dress_sleeveless_4OMXV6QUI0,4,10,False,False,True,False,266,262,0,0
dress_sleeveless_4TBS6NAAZI,dress_sleeveless_4TBS6NAAZI,4,10,False,False,True,False,268,264,0,0
dress_sleeveless_51M8PKFQ4M,dress_sleeveless_51M8PKFQ4M,4,10,False,False,True,False,218,214,0,0
dress_sleeveless_537G002HIX,dress_sleeveless_537G002HIX,4,10,False,False,True,False,252,248,0,0
dress_sleeveless_56KU62WCIQ,dress_sleeveless_56KU62WCIQ,4,10,False,False,True,False,250,246,0,0
dress_sleeveless_56YCSLJKLM,dress_sleeveless_56YCSLJKLM,4,10,False,False,True,False,226,222,0,0
dress_sleeveless_5707YEP216,dress_sleeveless_5707YEP216,4,10,False,False,True,False,236,232,0,0
dress_sleeveless_59VXPFSK20,dress_sleeveless_59VXPFSK20,4,10,False,False,True,False,246,242,0,0
dress_sleeveless_5HQ1OXKEQK,dress_sleeveless_5HQ1OXKEQK,4,10,False,False,True,False,246,242,0,0
dress_sleeveless_5JICCBOCUQ,dress_sleeveless_5JICCBOCUQ,4,10,False,False,True,False,268,264,0,0
dress_sleeveless_5K3X6QMUH3,dress_sleeveless_5K3X6QMUH3,4,10,False,False,True,False,272,268,0,0
dress_sleeveless_5NIYW2NL1K,dress_sleeveless_5NIYW2NL1K,4,10,False,False,True,False,248,244,0,0
dress_sleeveless_5O4C57KNAI,dress_sleeveless_5O4C57KNAI,4,10,False,False,True,False,248,244,0,0
dress_sleeveless_5UNUYBHGHZ,dress_sleeveless_5UNUYBHGHZ,4,10,False,False,True,False,230,226,0,0
dress_sleeveless_5VVD47NCYH,dress_sleeveless_5VVD47NCYH,4,10,False,False,True,False,250,246,0,0
dress_sleeveless_5WSFC8NX94,dress_sleeveless_5WSFC8NX94,4,10,False,False,True,False,222,218,0,0
dress_sleeveless_64363MTWH7,dress_sleeveless_64363MTWH7,4,10,False,False,True,False,212,208,0,0
dress_sleeveless_6EGC63QFLZ,dress_sleeveless_6EGC63QFLZ,4,10,False,False,True,False,224,220,0,0
dress_sleeveless_6IVSIA6XEN,dress_sleeveless_6IVSIA6XEN,4,10,False,False,True,False,254,250,0,0
dress_sleeveless_6NEN0F30NY,dress_sleeveless_6NEN0F30NY,4,10,False,False,True,False,206,202,0,0
dress_sleeveless_6STMT5QHW8,dress_sleeveless_6STMT5QHW8,4,10,False,False,True,False,276,272,0,0
dress_sleeveless_6ZOMQIE1RL,dress_sleeveless_6ZOMQIE1RL,4,10,False,False,True,False,250,246,0,0
dress_sleeveless_74CSQ5AWR8,dress_sleeveless_74CSQ5AWR8,4,10,False,False,True,False,240,236,0,0
dress_sleeveless_774UYC4VID,dress_sleeveless_774UYC4VID,4,10,False,False,True,False,218,214,0,0
dress_sleeveless_7BF3X3S4B9,dress_sleeveless_7BF3X3S4B9,4,10,False,False,True,False,256,252,0,0
dress_sleeveless_7CMOIMI9RN,dress_sleeveless_7CMOIMI9RN,4,10,False,False,True,False,238,234,0,0
dress_sleeveless_7MJ4THXP8N,dress_sleeveless_7MJ4THXP8N,4,10,False,False,True,False,254,250,0,0
dress_sleeveless_7W1G1CO7NJ,dress_sleeveless_7W1G1CO7NJ,4,10,False,False,True,False,258,254,0,0
dress_sleeveless_7WQXYYF7NF,dress_sleeveless_7WQXYYF7NF,4,10,False,False,True,False,240,236,0,0
dress_sleeveless_7ZNEH7FEFR,dress_sleeveless_7ZNEH7FEFR,4,10,False,False,True,False,264,260,0,0
dress_sleeveless_819EW4RN7S,dress_sleeveless_819EW4RN7S,4,10,False,False,True,False,272,268,0,0
dress_sleeveless_839MTT3AAW,dress_sleeveless_839MTT3AAW,4,10,False,False,True,False,268,264,0,0
dress_sleeveless_84JYBLET9K,dress_sleeveless_84JYBLET9K,4,10,False,False,True,False,266,262,0,0
dress_sleeveless_86ONL4S4AR,dress_sleeveless_86ONL4S4AR,4,10,False,False,True,False,232,228,0,0
dress_sleeveless_894FS2AW4W,dress_sleeveless_894FS2AW4W,4,10,False,False,True,False,268,264,0,0
dress_sleeveless_8B5187XV6Y,dress_sleeveless_8B5187XV6Y,4,10,False,False,True,False,248,244,0,0
dress_sleeveless_8FFV7WRKZJ,dress_sleeveless_8FFV7WRKZJ,4,10,False,False,True,False,230,226,0,0
dress_sleeveless_8G8N9Y5W71,dress_sleeveless_8G8N9Y5W71,4,10,False,False,True,False,256,252,0,0
dress_sleeveless_8IEOTCLNS3,dress_sleeveless_8IEOTCLNS3,4,10,False,False,True,False,260,256,0,0
dress_sleeveless_8IJXO4875V,dress_sleeveless_8IJXO4875V,4,10,False,False,True,False,280,276,0,0
dress_sleeveless_8R4PQN1AHT,dress_sleeveless_8R4PQN1AHT,4,10,False,False,True,False,246,242,0,0
dress_sleeveless_8S63U5PE0F,dress_sleeveless_8S63U5PE0F,4,10,False,False,True,False,214,210,0,0
dress_sleeveless_8T0FOLTUV4,dress_sleeveless_8T0FOLTUV4,4,10,False,False,True,False,256,252,0,0
dress_sleeveless_8U5YYP1GID,dress_sleeveless_8U5YYP1GID,4,10,False,False,True,False,250,246,0,0
dress_sleeveless_9862BQFMOI,dress_sleeveless_9862BQFMOI,4,10,False,False,True,False,224,220,0,0
dress_sleeveless_992P7537OH,dress_sleeveless_992P7537OH,4,10,False,False,True,False,292,288,0,0
dress_sleeveless_9DENQX2HE4,dress_sleeveless_9DENQX2HE4,4,10,False,False,True,False,208,204,0,0
dress_sleeveless_9E0AGEJUL5,dress_sleeveless_9E0AGEJUL5,4,10,False,False,True,False,230,226,0,0
dress_sleeveless_9UWI0C27EK,dress_sleeveless_9UWI0C27EK,4,10,False,False,True,False,246,242,0,0
dress_sleeveless_9Y2CS2TE60,dress_sleeveless_9Y2CS2TE60,4,10,False,False,True,False,238,234,0,0
dress_sleeveless_9ZXNZNW2XP,dress_sleeveless_9ZXNZNW2XP,4,10,False,False,True,False,228,224,0,0
dress_sleeveless_A51043PRDP,dress_sleeveless_A51043PRDP,4,10,False,False,True,False,272,268,0,0
dress_sleeveless_A7AXSDCIEO,dress_sleeveless_A7AXSDCIEO,4,10,False,False,True,False,256,252,0,0
dress_sleeveless_AN32FOO1DV,dress_sleeveless_AN32FOO1DV,4,10,False,False,True,False,244,240,0,0
dress_sleeveless_ANUJR8HHUF,dress_sleeveless_ANUJR8HHUF,4,10,False,False,True,False,240,236,0,0
dress_sleeveless_AQO69IR9MH,dress_sleeveless_AQO69IR9MH,4,10,False,False,True,False,260,256,0,0
dress_sleeveless_ARLZMFNHV6,dress_sleeveless_ARLZMFNHV6,4,10,False,False,True,False,218,214,0,0
dress_sleeveless_ARZB6AWT0L,dress_sleeveless_ARZB6AWT0L,4,10,False,False,True,False,262,258,0,0
dress_sleeveless_ATN64QCUCV,dress_sleeveless_ATN64QCUCV,4,10,False,False,True,False,260,256,0,0
dress_sleeveless_B618LCNQKR,dress_sleeveless_B618LCNQKR,4,10,False,False,True,False,250,246,0,0
dress_sleeveless_BA5TRS22AY,dress_sleeveless_BA5TRS22AY,4,10,False,False,True,False,210,206,0,0
dress_sleeveless_BEJNZZELW8,dress_sleeveless_BEJNZZELW8,4,10,False,False,True,False,220,216,0,0
dress_sleeveless_BIWYYOIWMQ,dress_sleeveless_BIWYYOIWMQ,4,10,False,False,True,False,236,232,0,0
dress_sleeveless_BSWV86I417,dress_sleeveless_BSWV86I417,4,10,False,False,True,False,218,214,0,0
dress_sleeveless_BU42W81FE2,dress_sleeveless_BU42W81FE2,4,10,False,False,True,False,250,246,0,0
dress_sleeveless_BUA0TDEHKX,dress_sleeveless_BUA0TDEHKX,4,10,False,False,True,False,238,234,0,0
dress_sleeveless_BUYCAR5D1P,dress_sleeveless_BUYCAR5D1P,4,10,False,False,True,False,262,258,0,0
dress_sleeveless_BXNW8UY4V8,dress_sleeveless_BXNW8UY4V8,4,10,False,False,True,False,242,238,0,0
dress_sleeveless_BXYF2STGD0,dress_sleeveless_BXYF2STGD0,4,10,False,False,True,False,252,248,0,0
dress_sleeveless_C1M03J8IH8,dress_sleeveless_C1M03J8IH8,4,10,False,False,True,False,236,232,0,0
dress_sleeveless_C6HKYTJP0S,dress_sleeveless_C6HKYTJP0S,4,10,False,False,True,False,236,232,0,0
dress_sleeveless_CBLKBARUVU,dress_sleeveless_CBLKBARUVU,4,10,False,False,True,False,264,260,0,0
dress_sleeveless_CEHVIB72VD,dress_sleeveless_CEHVIB72VD,4,10,False,False,True,False,266,262,0,0
dress_sleeveless_CETWK7HC5L,dress_sleeveless_CETWK7HC5L,4,10,False,False,True,False,264,260,0,0
dress_sleeveless_CMB7QRO59R,dress_sleeveless_CMB7QRO59R,4,10,False,False,True,False,306,302,0,0
dress_sleeveless_CMPGYMQRBV,dress_sleeveless_CMPGYMQRBV,4,10,False,False,True,False,280,276,0,0
dress_sleeveless_CNEYTU8CQC,dress_sleeveless_CNEYTU8CQC,4,10,False,False,True,False,226,222,0,0
dress_sleeveless_CNXZ82MCGZ,dress_sleeveless_CNXZ82MCGZ,4,10,False,False,True,False,220,216,0,0
dress_sleeveless_CWGRSY8DGX,dress_sleeveless_CWGRSY8DGX,4,10,False,False,True,False,270,266,0,0
dress_sleeveless_D5HULBAER0,dress_sleeveless_D5HULBAER0,4,10,False,False,True,False,234,230,0,0
dress_sleeveless_D6YNV08LIB,dress_sleeveless_D6YNV08LIB,4,10,False,False,True,False,232,228,0,0
dress_sleeveless_DA1L57Y02E,dress_sleeveless_DA1L57Y02E,4,10,False,False,True,False,220,216,0,0
dress_sleeveless_DKG10FW0CH,dress_sleeveless_DKG10FW0CH,4,10,False,False,True,False,266,262,0,0
dress_sleeveless_DO1QHXAU6V,dress_sleeveless_DO1QHXAU6V,4,10,False,False,True,False,280,276,0,0
dress_sleeveless_DSUY0L3JMX,dress_sleeveless_DSUY0L3JMX,4,10,False,False,True,False,234,230,0,0
dress_sleeveless_DTF7NPMHYO,dress_sleeveless_DTF7NPMHYO,4,10,False,False,True,False,216,212,0,0
dress_sleeveless_DU040C2W1B,dress_sleeveless_DU040C2W1B,4,10,False,False,True,False,256,252,0,0
dress_sleeveless_DY1UG9LNJ5,dress_sleeveless_DY1UG9LNJ5,4,10,False,False,True,False,264,260,0,0
dress_sleeveless_EB5CTVRJ5I,dress_sleeveless_EB5CTVRJ5I,4,10,False,False,True,False,284,280,0,0
dress_sleeveless_ED4SKL2C21,dress_sleeveless_ED4SKL2C21,4,10,False,False,True,False,222,218,0,0
dress_sleeveless_EFQ7KLKO76,dress_sleeveless_EFQ7KLKO76,4,10,False,False,True,False,232,228,0,0
dress_sleeveless_EZGBIGYYX9,dress_sleeveless_EZGBIGYYX9,4,10,False,False,True,False,254,250,0,0
dress_sleeveless_F1UYO1D0Z2,dress_sleeveless_F1UYO1D0Z2,4,10,False,False,True,False,204,200,0,0
dress_sleeveless_F26U62B050,dress_sleeveless_F26U62B050,4,10,False,False,True,False,260,256,0,0
dress_sleeveless_F2PLOE4J3H,dress_sleeveless_F2PLOE4J3H,4,10,False,False,True,False,252,248,0,0
dress_sleeveless_F3HB80IOT9,dress_sleeveless_F3HB80IOT9,4,10,False,False,True,False,262,258,0,0
dress_sleeveless_F57SMQF9EO,dress_sleeveless_F57SMQF9EO,4,10,False,False,True,False,236,232,0,0
dress_sleeveless_F8UMKOIWUS,dress_sleeveless_F8UMKOIWUS,4,10,False,False,True,False,208,204,0,0
dress_sleeveless_FADXYTDZNX,dress_sleeveless_FADXYTDZNX,4,10,False,False,True,False,228,224,0,0
dress_sleeveless_FAXEJBORCK,dress_sleeveless_FAXEJBORCK,4,10,False,False,True,False,230,226,0,0
dress_sleeveless_FPAH7I5IO2,dress_sleeveless_FPAH7I5IO2,4,10,False,False,True,False,270,266,0,0
dress_sleeveless_FTL0W1T1CP,dress_sleeveless_FTL0W1T1CP,4,10,False,False,True,False,224,220,0,0
dress_sleeveless_FXXI8MDOSG,dress_sleeveless_FXXI8MDOSG,4,10,False,False,True,False,266,262,0,0
dress_sleeveless_G0GWP0S276,dress_sleeveless_G0GWP0S276,4,10,False,False,True,False,264,260,0,0
dress_sleeveless_G4U29BC9UY,dress_sleeveless_G4U29BC9UY,4,10,False,False,True,False,266,262,0,0
dress_sleeveless_GOS86KAHMT,dress_sleeveless_GOS86KAHMT,4,10,False,False,True,False,216,212,0,0
dress_sleeveless_GX00LPWMTW,dress_sleeveless_GX00LPWMTW,4,10,False,False,True,False,242,238,0,0
dress_sleeveless_H2O6G4UK6Q,dress_sleeveless_H2O6G4UK6Q,4,10,False,False,True,False,276,272,0,0
dress_sleeveless_H5QSCD2E3X,dress_sleeveless_H5QSCD2E3X,4,10,False,False,True,False,208,204,0,0
dress_sleeveless_HAZJJ2U3ZC,dress_sleeveless_HAZJJ2U3ZC,4,10,False,False,True,False,236,232,0,0
dress_sleeveless_HBI6U43HPE,dress_sleeveless_HBI6U43HPE,4,10,False,False,True,False,288,284,0,0
dress_sleeveless_HCQ1HCUT66,dress_sleeveless_HCQ1HCUT66,4,10,False,False,True,False,222,218,0,0
dress_sleeveless_HFUOYDSTMA,dress_sleeveless_HFUOYDSTMA,4,10,False,False,True,False,232,228,0,0
dress_sleeveless_HHIVLN1MG7,dress_sleeveless_HHIVLN1MG7,4,10,False,False,True,False,200,196,0,0
dress_sleeveless_HVEUGTRP0G,dress_sleeveless_HVEUGTRP0G,4,10,False,False,True,False,208,204,0,0
dress_sleeveless_HY77XT8BAR,dress_sleeveless_HY77XT8BAR,4,10,False,False,True,False,250,246,0,0
dress_sleeveless_I0DYSVJ5F5,dress_sleeveless_I0DYSVJ5F5,4,10,False,False,True,False,238,234,0,0
dress_sleeveless_I6MCINO6SW,dress_sleeveless_I6MCINO6SW,4,10,False,False,True,False,228,224,0,0
dress_sleeveless_I72TE5HVDG,dress_sleeveless_I72TE5HVDG,4,10,False,False,True,False,222,218,0,0
dress_sleeveless_IGE0P971K8,dress_sleeveless_IGE0P971K8,4,10,False,False,True,False,256,252,0,0
dress_sleeveless_II2R0JT8B6,dress_sleeveless_II2R0JT8B6,4,10,False,False,True,False,252,248,0,0
dress_sleeveless_IIND66HBCD,dress_sleeveless_IIND66HBCD,4,10,False,False,True,False,248,244,0,0
dress_sleeveless_ISZCLTJU1D,dress_sleeveless_ISZCLTJU1D,4,10,False,False,True,False,214,210,0,0
dress_sleeveless_IVVLE0KZIE,dress_sleeveless_IVVLE0KZIE,4,10,False,False,True,False,288,284,0,0
dress_sleeveless_IWLU053P6B,dress_sleeveless_IWLU053P6B,4,10,False,False,True,False,270,266,0,0
dress_sleeveless_JCDARO74MK,dress_sleeveless_JCDARO74MK,4,10,False,False,True,False,246,242,0,0
dress_sleeveless_JCRR8K9LVY,dress_sleeveless_JCRR8K9LVY,4,10,False,False,True,False,228,224,0,0
dress_sleeveless_JGV209W6PG,dress_sleeveless_JGV209W6PG,4,10,False,False,True,False,266,262,0,0
dress_sleeveless_JI7F2SOX27,dress_sleeveless_JI7F2SOX27,4,10,False,False,True,False,222,218,0,0
dress_sleeveless_JIEFIJDPDM,dress_sleeveless_JIEFIJDPDM,4,10,False,False,True,False,220,216,0,0
dress_sleeveless_JN7Y94IIZT,dress_sleeveless_JN7Y94IIZT,4,10,False,False,True,False,252,248,0,0
dress_sleeveless_JRLOAKC0DT,dress_sleeveless_JRLOAKC0DT,4,10,False,False,True,False,216,212,0,0
